"Name","Resolucion","Fecha Resolucion","Registro"
"Congregación de los Oblatos de María Inmaculada (Misioneros Oblatos de María Inmaculada)","3257","1996-11-13","52"
"Congregación de los Padres Rogacionistas del Corazón de Jesús (Padres Rogacionistas)","937","1998-03-04","157"
"Congregación de los Santos Angeles Custodios","965","2000-04-17","241"
"Congregación de los Servidores de Jesús y de María","941","2004-05-17","311"
"Congregación de Nuestra Señora de la Inmaculada Concepción - Pcia Lomas (Hnas Azules de Castres)","1106","2000-04-28","177/1"
"Congregación de Nuestra Señora de Sión","3698","1997-11-24","130"
"Congregación de Religiosas del Verbo Encarnado","1106","2003-10-19","303"
"Congregación de Religiosas Hijas de San José (Hijas de San José - Josefinas)","1367","1996-05-21","12"
"Congregación de San José (Josefinos de Murialdo)","2147","1996-08-01","18"
"Congregación de San Miguel Arcangel (Miguelinos)","705","1997-03-24","75"
"CONGREGACION DEL ORATORIO DE SAN FELIPE NERI","1458","2007-07-18","350"
"Congregación del Sagrado Corazón del Verbo Encarnado (Hnas. del Verbo Encarnado)","892","1998-03-04","156"
"Congregación del Santísimo Redentor (Provincia Redentorista Bonaerense)","DPEN2376","1996-12-07","78"
"Congregación del Santísimo Redentor (Viceprovincia de Resistencia)","DPEN1513","1994-08-23","15"
"Congregación del Santísimo Sacramento (Padres Sacramentinos)","761","2000-03-28","238"
"Congregación del Santísimo Salvador de Letrán de la Orden de Canónigos Regulares de San Agustín","2382","1997-08-27","103"
"Congregación del Verbo Divino (Pcia Argentina Este)","1960","1996-07-05","16/1"
"Congregación del Verbo Divino (Pcia Argentina Norte)","2072","1996-07-24","16/2"
"Congregación del Verbo Divino (Provincia Argentina Sur)","1959","1996-07-05","16"
"Congregación Hermanas de San José de Cúneo (Hermanas de San José)","2541","1997-09-08","106"
"Congregacion Hermanas de San Juan Baustista","3468","2001-11-16","285"
"Congregación Hermanas Dominicas de Santa Catalina de Siena-Oakford Natal","764","2001-03-22","266"
"Congregación Hermanas Enfermeras de la Virgen Dolorosa","891","1998-03-04","154"
"Congregación Hermanas Mercedarias de la Caridad","2581","1997-08-27","101"
"Congregación Hermanas Murialdinas de San José (Murialdinas de San José)","1740","1997-06-20","90"
"Congregación Hermanas Siervas de María Inmaculada","3282","2001-10-24","277"
"Congregación Hermanitas de los Ancianos Desamparados","3144","1996-11-06","48"
"Congregación Hijas de la Cruz","2126","2007-10-10","353"
"Congregación Hijas de Nuestra Señora del Monte Calvario (Hermanas del Monte Calvario)","2383","1996-08-16","26"
"Congregación Hijas de San Camilo (Hijas de San Camilo)","616","1997-03-14","74"
"Congregación Hijas de San José","2658","1996-09-23","37"
"Congregación Hijas de Santa Ana","2200","1996-08-01","20"
"Congregación Hijas Nuestra Señora de Luján","1876","1997-07-10","91"
"Congregación Hnas Terciarias Misioneras Franciscanas","3629","1996-12-18","64"
"Congregación Marta y María","385","2006-03-13","338"
"Congregación Misionera  de las Siervas del Espíritu Santo - Provincia Argentina Sur","143","1999-07-02","118/2"
"Congregación Misionera de las Siervas del Espíritu Santo (Provincia Argentina Misiones)","3986","1997-12-23","118/1"
"Congregación Misionera de las Siervas del Espíritu Santo (Provincia Argentina Norte)","2926","1997-10-03","118"
"Congregación Misionera Mariana del Espíritu Santo","1111","1997-05-08","80"
"Congregación Pobres Siervas de la Divina Providencia","2807","1996-10-02","41"
"Congregación Pobres Siervos de la Divina Providencia","3756","1997-12-09","132"
"Congregación San Pedro “Ad Víncula” P.P. Fisionanos","2657","1996-09-23","32"
"Congregación Siervos de la Caridad (Obra Don Guanella)","2517","1996-09-06","33"
"Consagradas Misioneras de la Familia","1107","2003-09-19","302/1"
"Cooperadores Parroquiales de Cristo Rey","201","1999-11-10","223"
"Cooperatrices Parroquiales de Cristo Rey","1870","1998-05-14","168"
"Esclavas de la Inmaculada Niña (Divina Infantita)","3379","1996-11-21","54"
"Esclavas del Divino Corazón","1611","1997-06-11","89"
"Esclavas del Sagrado Corazón de Jesús","3591","1996-12-05","60"
"Franciscanas Misioneras de la Madre del Divino Pastor","38","1998-09-17","180"
"Franciscanas Misioneras de Notre Dame","3709","2001-12-07","289"
"Fraternidad  Monástica Abba, Padre","3316","2001-10-31","279"
"Fraternidad de Belén (Frailes Capuchinos Recoletos)","2163","1997-07-25","95"
"Fraternidad de las Hermanitas de Jesús (Carlos de Jesús)","1987","0007-09-20","351"
"Fraternidad Eclesial Franciscana (Hermanas de la Fraternidad Eclesial Franciscana)","2516","1996-09-06","35"
"Fraternidad Hermanitas de la Paz (Hermanitas de la Paz)","2819","1997-09-18","117"
"Fraternidad Misionera Verbum Dei - Misioneras Verbum Dei","2507","2005-11-01","335"
"Fraternidad Monástica del Cristo Orante  (AsocPbl Fiel)","229","1999-12-07","220"
"Fraternidad Religiosa Nazareth","820","2004-04-29","304/1"
"Fraternidad Sacerdotal Nazareth- Fraternidad Religiosa Nazareth                     (Asoc priv de fieles)","1277","2003-10-10","304"
"Hermanas Agustinas Misioneras","2564","1997-09-08","109"
"Hermanas Auxiliares de los Ejercicios Espirituales","3527","1996-12-05","55"
"Hermanas Benedictinas Misioneras de Tutzing","1016","1996-04-22","9"
"Hermanas Capuchinas de la Madre Rubatto","1875","2001-06-11","274"
"Hermanas Carmelitas de la Caridad de Vedruna","737","1998-03-04","152"
"HERMANAS CARMELITAS DE LA CARIDAD DE VEDRUNA","737","1998-03-04","152"
"HERMANAS CARMELITAS DE LA CARIDAD DE VEDRUNA","737","1998-03-04","152"
"Hermanas Clarisas de la Inmaculada (Terciarias Franciscanas Regulares)","50","2007-01-11","347"
"Hermanas de Belén y de la Asunción de la Virgen (Monasterio Santa María en la Santísima Trinidad)","2686","1996-09-23","34"
"Hermanas de Caridad  de Nuestra Señora del Buen y Perpetuo Socorro","3456","2000-11-15","283"
"Hermanas de Caridad de la Inmaculada Concepción de Ivrea","606","2000-03-03","235"
"Hermanas de Caridad de las Santas Bartolomea Capitanio y Vicenta Gerosa (Hnas. de la Virgen Niña)","92","1999-05-05","207"
"Hermanas de Jesús Buen Pastor (Pastorcitas)","22","1998-09-07","183"
"Hermanas de la Caridad Cristiana. Hijas de la BVM de la Inmaculada Concepción (Hermanas de Mallinckrodt)","59","1998-10-09","193"
"Hermanas de la Caridad de Santa Juana Antida Thouret (Hermanas de la Caridad)","1400","1997-05-30","86"
"Hermanas de la Compañía de la Cruz (Hermanas de la Cruz)","3567","1996-12-05","58"
"Hermanas de la Compañía de María","2691","2005-11-21","336"
"Hermanas de la Inmaculada (Hermanas de la Inmaculada de Génova)","3086","1996-10-29","45"
"Hermanas de la Misericordia de las Américas","1057","1998-03-27","160"
"HERMANAS DE LA MISERICORDIA DE VERONA","294","2005-03-15","321"
"Hermanas de la Orden de San Basilio Magno (Hermanas Basilianas)","3322","2001-10-31","281"
"Hermanas de la Providencia","11","1998-08-25","175"
"Hermanas de la Providencia  bajo  la Protección de San Cayetano Thiene","3908","2001-12-18","292"
"Hermanas de la Santa Cruz y Pasión de Nuestro Señor Jesucristo (Hermanas Pasionistas)","3815","1997-12-12","139"
"Hermanas de la Santísima Trinidad (Hnas Trinitarias)","1411","2000-05-24","247"
"Hermanas de las Divinas Vocaciones (Hnas. Vocacionistas)","1708","2000-07-06","248"
"Hermanas de las Escuelas de Nuestra Señora","2381","1996-08-16","21"
"Hermanas de Nuestra Señora  del Rosario de Bs. As.","1135","1997-05-08","81"
"Hermanas de Nuestra Señora de los Apóstoles","1606","1997-06-11","88"
"Hermanas de Nuestra Señora del Calvario (Hermanas del Calvario)","609","1996-03-19","5"
"Hermanas de Nuestra Señora del Carmen","2540","1997-09-08","105"
"Hermanas de Nuestra Sra. de la Compasión (Hnas. de la Compasión)","4097","1997-12-26","142"
"Hermanas de San Antonio de Padua","39","1998-09-17","188"
"Hermanas de San Antonio de Padua- Provincia Argentina","1310","2001-05-02","188/1"
"Hermanas de San Casimiro","3529","2000-11-16","255"
"Hermanas de San Jose de Cluny","851","2004-05-03","312"
"Hermanas de Santa Dorotea de Cemmo","2319","1997-08-22","99"
"Hermanas del Apostolado Católico (Palotinas)","199","1999-11-10","226"
"Hermanas Dominicas de la Anunciata","113","1998-12-28","197"
"Hermanas Dominicas de la Inmaculada Concepción","1475","2005-06-27","330"
"Hermanas Dominicas de Ntra. Sra. del Rosario y Sta. Catalina de Siena(Hnas. Dominicas Irlandesas de CABRA)","3124","1997-10-22","120"
"Hermanas Dominicas de Santa Catalina de Siena, docentes y enfermeras.","1366","1996-05-21","13"
"Hermanas Dominicas del Santísimo Jesús","3500","1997-11-17","125"
"Hermanas Dominicas del Santísimo Sacramento","2698","1997-09-15","113"
"Hermanas Educacionistas de la Tercera Orden de San Francisco (Hermanas Educacionistas Franciscanas)","3568","1996-12-05","59"
"Hermanas Educacionistas Franciscanas de Cristo Rey","91","1999-05-05","205"
"Hermanas Fieles Compañeras de Jesús","2586","1997-09-08","110"
"Hermanas Franciscanas de la Caridad Cristiana","3816","1997-12-12","137"
"Hermanas Franciscanas de la Inmaculada Concepción de María de Bonlanden","64","1999-04-08","203"
"Hermanas Franciscanas Misioneras de la Natividad de Nuestra Señora","98","1999-05-05","202"
"Hermanas Hijas de la Caridad Canossianas","212","1999-11-18","201"
"Hermanas Hospitalarias de la Misericordia","2809","2000-09-29","251"
"Hermanas Hospitalarias del Sagrado Corazón de Jesús","17","1999-02-10","196"
"Hermanas Maestras de la Santa Cruz (Hnas. de la Santa Cruz)","4110","1997-12-26","143"
"Hermanas Mínimas de Nuestra Señora del Sufragio","1816","2003-12-18","309"
"Hermanas Misioneras Catequistas de Cristo Rey","2346","1998-06-18","173"
"Hermanas Misioneras de la Divina Misericordia","1622","2002-09-09","298"
"Hermanas Misioneras de San Pedro Claver (Claverianas)","2939","1996-10-18","43"
"Hermanas Misioneras Redentoristas","1474","2005-06-27","327"
"Hermanas Oblatas del Santísimo Redentor","1291","2000-05-16","246"
"Hermanas Obreras Catequistas de Jesús Sacrament","3209","1997-10-30","123"
"Hermanas Pequeñas Obreras de los Sagrados Corazones (Instituto de las Pequeñas Obreras de los Sagrados Corazones)","2376","1996-08-16","22"
"Hermanas Pías Discípulas del Divino Maestro","216","2001-01-22","262"
"Hermanas Pobres Bonaerenses de San José","890","1998-03-04","155"
"Hermanas Siervas de María Reparadoras","1881","1997-07-10","93"
"Hermanas Terciarias Carmelitas de Santa Teresa de Jesús (Huérfanas)","3195","1996-11-06","49"
"Hermanas Terciarias Franciscanas de la Caridad (Hermanas Franciscanas o Franciscanas Enfermeras)","556","1996-03-13","3"
"Hermanas Terciarias Franciscanas Isabelinas de Padua","70","1999-04-09","198"
"Hermanas Ursulinas de María Virgen Inmaculada de Gandino (Instituto de las Hermanas Ursulinas)","5","1997-01-02","67"
"Hermandad de Sacerdotes Operarios Diocesanos del Corazón de Jesús","943","2004-05-17","310"
"Hermanitas de la Asunción","3125","1997-10-22","121"
"Hermanitas de San José de Montgay (Hermanitas de San José)","981","2000-04-17","243"
"HERMANITAS DEL CORDERO-DOMINICAS","1455","2007-07-18","349"
